"","author","title","journal","date"
"1","Aakash Bipin Gandhi","Capsule Commentary on Agana et al., a Novel Approach to Characterizing Readmission Patterns Following Hospitalization for Ambulatory Care-Sensitive Conditions.","Journal of general internal medicine","2020 Apr"
"2","Aakash Bipin Gandhi","Patient-level Factors Associated With the Initial Management of Older Adults Diagnosed With Follicular Lymphoma: A Surveillance, Epidemiology, and End Results-Medicare Analysis.","Clinical lymphoma, myeloma & leukemia","2020 Apr"
"3","Aakash Bipin Gandhi","Healthcare Resource Utilization Following a Discharge Against Medical Advice: An Analysis of Commercially Insured Adults.","Journal of hospital medicine","2020 Dec"
"4","Aakash Bipin Gandhi","Costs associated with follicular lymphoma among individuals diagnosed with non-Hodgkin lymphoma: a longitudinal analysis using SEER-Medicare data.","Leukemia & lymphoma","2020 Jan"
"5","Aakash Bipin Gandhi","Co-use of alcohol, tobacco, and licit and illicit controlled substances among pregnant and non-pregnant women in the United States: Findings from 2006 to 2014 National Survey on Drug Use and Health (NSDUH) data.","Drug and alcohol dependence","2020 Jan 1"
"6","Aakash Bipin Gandhi","Follicular lymphoma treatment patterns between 2000 and 2014: a SEER-Medicare analysis of elderly patients.","Future oncology (London, England)","2020 Mar"
"7","Aakash Bipin Gandhi","Chronic non-cancer pain and its association with healthcare use and costs among individuals with obstructive sleep apnea.","Pain management","2020 Nov"
"8","Aakash Bipin Gandhi","Patterns of prescription opioid utilization among adolescents and adults with comorbid chronic pain and mental health diagnosis.","Pain","2020 Oct"
"9","Aakash Bipin Gandhi","Health Care Resource Utilization Associated With Parkinson Disease Among Medicare Beneficiaries.","Neurology","2021 Aug 10"
"10","Aakash Bipin Gandhi","Opioid and benzodiazepine dispensing and co-dispensing patterns among commercially insured pregnant women in the United States, 2007-2015.","BMC pregnancy and childbirth","2021 May 3"
"11","Aakash Bipin Gandhi","The economic burden of Parkinson disease among Medicare beneficiaries.","Journal of managed care & specialty pharmacy","2022 Apr"
"12","Aakash Bipin Gandhi","Discharges against medical advice and 30-day healthcare costs: an analysis of commercially insured adults.","Journal of comparative effectiveness research","2022 Feb"
"13","Abdalla Aly","Measurement of skeletal related events in SEER-Medicare: a comparison of claims-based methods.","BMC medical research methodology","2015 Aug 19"
"14","Abdalla Aly","Understanding heterogeneity of treatment effect in prostate cancer.","Current opinion in oncology","2015 May"
"15","Abdalla Aly","Continuous patient engagement in cardiovascular disease clinical comparative effectiveness research.","Expert review of pharmacoeconomics & outcomes research","2016"
"16","Abdalla Aly","Risk of skeletal related events among elderly prostate cancer patients by site of metastasis at diagnosis.","Cancer medicine","2016 Nov"
"17","Abdalla Aly","Physician visits and the timing of skeletal-related events among men newly diagnosed with metastatic prostate cancer: A cohort analysis.","Urologic oncology","2018 Jul"
"18","Abdalla Aly","Overall survival, costs, and healthcare resource use by line of therapy in Medicare patients with newly diagnosed metastatic urothelial carcinoma.","Journal of medical economics","2019 Jul"
"19","Abdalla Aly","The Real-World Lifetime Economic Burden of Urothelial Carcinoma by Stage at Diagnosis.","Journal of clinical pathways : the foundation of value-based care","2020 May"
"20","Abdalla Aly","Medical oncology referral and systemic therapy of patients with advanced stage urothelial carcinoma.","Journal of comparative effectiveness research","2020 Sep"
"21","Abisola Olopoenia","Chronic non-cancer pain and its association with healthcare use and costs among individuals with obstructive sleep apnea.","Pain management","2020 Nov"
"22","Abisola Olopoenia","Patterns of prescription opioid utilization among adolescents and adults with comorbid chronic pain and mental health diagnosis.","Pain","2020 Oct"
"23","Abisola Olopoenia","Patterns of opioid and benzodiazepine use with gabapentin among disabled Medicare beneficiaries - A retrospective cohort study.","Drug and alcohol dependence","2022 Jan 1"
"24","Abisola Olopoenia","Adverse outcomes associated with concurrent gabapentin, opioid, and benzodiazepine utilization: A nested case-control study.","Lancet regional health. Americas","2022 Sep"
"25","Abisola Olopoenia","The Associations between Insomnia Severity and Health Outcomes in the United States.","Journal of clinical medicine","2023 Mar 22"
"26","Abisola Olopoenia","Examining transitions of care among nursing home residents with and without antipsychotic medication use.","Aging & mental health","2023 Sep-Oct"
"27","Adaeze Amaefule","A Systematic Review of Cost-Effectiveness Analyses for Hepatocellular Carcinoma Treatment.","PharmacoEconomics - open","2022 Jan"
"28","Aida Kuzucan","Communication of Nonefficacy Benefits of New Drugs Approved on the Basis of Noninferiority Trials Alone: Cohort Study of FDA and Sponsor Communication, 2011-2017.","JAMA internal medicine","2019 May 1"
"29","Aida Kuzucan","Antibiotics Approved for Marketing in Populations Specifically Excluded From Premarketing Trials, 1999-2018.","Mayo Clinic proceedings","2020 Dec"
"30","Aida Kuzucan","Examining transitions of care among nursing home residents with and without antipsychotic medication use.","Aging & mental health","2023 Sep-Oct"
"31","Amanda Summers","Shoulder impairment and pain of individuals with newly acquired spinal cord injury compared to uninjured peers.","Spinal cord series and cases","2020 Aug 4"
"32","Amanda Summers","Relationship of psychosocial factors and musculoskeletal pain among individuals with newly acquired spinal cord injury.","Spinal cord series and cases","2021 Jul 19"
"33","Amanda Summers","Costs and health care resource utilization among Medicare beneficiaries diagnosed with chronic lymphocytic leukemia.","Journal of managed care & specialty pharmacy","2024 May"
"34","Amanda Summers","Disparity in treatment patterns among Medicare beneficiaries diagnosed with chronic lymphocytic leukemia: an analysis of patient and contextual factors.","Leukemia & lymphoma","2024 May"
"35","Amanda Summers","Cost-effective interventions to prevent prescription drug misuse: a systematic review.","Frontiers in public health","2025"
"36","Andrew York","Broadband terahertz lasing in aligned molecules.","Optics express","2008 Jul 7"
"37","Andrew York","Laser-driven clockwise molecular rotation for a transient spinning waveplate.","Optics express","2009 Aug 3"
"38","Andrew York","Anticipating, measuring, and minimizing MEMS mirror scan error to improve laser scanning microscopy's speed and accuracy.","PloS one","2017"
"39","Anna Hung","Relative effectiveness and safety of chemotherapy in elderly and nonelderly patients with stage III colon cancer: a systematic review.","The oncologist","2013"
"40","Anna Hung","Clinical value of tapentadol extended-release in painful diabetic peripheral neuropathy.","Expert review of clinical pharmacology","2014 Mar"
"41","Anna Hung","A review of how the quality of HIV clinical services has been evaluated or improved.","International journal of STD & AIDS","2015 Jun"
"42","Anna Hung","The effect of Medicare Advantage enrollment on mammographic screening.","The American journal of managed care","2016 Feb 1"
"43","Anna Hung","The Untapped Potential of Pharmacy Leaflets for Informing Patients About Drug Benefits and Risks.","JAMA internal medicine","2016 Jan"
"44","Anna Hung","What Are the Incentives for Medicare Prescription Drug Plans to Consider Long-Term Outcomes and Cost?","Journal of managed care & specialty pharmacy","2016 Jul"
"45","Anna Hung","Patterns of Biologics Use Across Treatment Lines in Elderly (Age >65) Medicare Patients With Metastatic Colon Cancer.","The oncologist","2016 Jun"
"46","Anna Hung","A Systematic Review of U.S. Biosimilar Approvals: What Evidence Does the FDA Require and How Are Manufacturers Responding?","Journal of managed care & specialty pharmacy","2017 Dec"
"47","Anna Hung","Using a Budget Impact Model Framework to Evaluate Antidiabetic Formulary Changes and Utilization Management Tools.","Journal of managed care & specialty pharmacy","2019 Mar"
"48","Anna Hung","Site engagement for multi-site clinical trials.","Contemporary clinical trials communications","2020 Sep"
"49","Anna Hung","Formulary tiers, medication cost sharing, and transparency in bronze and silver qualified health plans in 2014 vs 2018.","Journal of managed care & specialty pharmacy","2021 Oct"
"50","Anna Hung","Mapping potentially inappropriate medications in older adults using the Anatomical Therapeutic Chemical (ATC) classification system.","Journal of the American Geriatrics Society","2024 Jan"
